股票代码,开始时间,结束时间,成交量,成交额,开盘价,最低价,最高价,收盘价,开盘价（前复权）,最低价（前复权）,最高价（前复权）,收盘价（前复权）,开盘价（后复权）,最低价（后复权）,最高价（后复权）,收盘价（后复权）
601366,2017-04-12,2017-04-13,39607,498754.0,10.58,10.58,12.70,12.70,10.58,10.58,12.70,12.70,10.58,10.58,12.70,12.70
601366,2017-04-13,2017-04-14,30585,427272.0,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97,13.97
601366,2017-04-14,2017-04-15,57385,882007.0,15.37,15.37,15.37,15.37,15.37,15.37,15.37,15.37,15.37,15.37,15.37,15.37
601366,2017-04-17,2017-04-18,192586,3256630.0,16.91,16.91,16.91,16.91,16.91,16.91,16.91,16.91,16.91,16.91,16.91,16.91
601366,2017-04-18,2017-04-19,451502,8397940.0,18.60,18.60,18.60,18.60,18.60,18.60,18.60,18.60,18.60,18.60,18.60,18.60
601366,2017-04-19,2017-04-20,60560897,1.22098995E9,20.46,19.52,20.46,20.46,20.46,19.52,20.46,20.46,20.46,19.52,20.46,20.46
601366,2017-04-20,2017-04-21,71275316,1.38672998E9,20.40,18.60,20.60,18.74,20.40,18.60,20.60,18.74,20.40,18.60,20.60,18.74
601366,2017-04-21,2017-04-22,44031216,7.7656998E8,17.85,17.01,18.25,17.17,17.85,17.01,18.25,17.17,17.85,17.01,18.25,17.17
601366,2017-04-24,2017-04-25,28845534,4.70588E8,16.80,15.85,16.91,16.16,16.80,15.85,16.91,16.16,16.80,15.85,16.91,16.16
601366,2017-04-25,2017-04-26,27192719,4.51881984E8,16.45,16.24,16.97,16.36,16.45,16.24,16.97,16.36,16.45,16.24,16.97,16.36
601366,2017-04-26,2017-04-27,28248094,4.65815008E8,16.13,15.83,16.93,16.51,16.13,15.83,16.93,16.51,16.13,15.83,16.93,16.51
601366,2017-04-27,2017-04-28,46027872,7.9161101E8,16.22,16.03,18.15,17.67,16.22,16.03,18.15,17.67,16.22,16.03,18.15,17.67
601366,2017-04-28,2017-04-29,28376829,4.89569984E8,17.30,17.03,17.56,17.18,17.30,17.03,17.56,17.18,17.30,17.03,17.56,17.18
601366,2017-05-02,2017-05-03,20790103,3.57112992E8,17.22,16.90,17.55,17.23,17.22,16.90,17.55,17.23,17.22,16.90,17.55,17.23
601366,2017-05-03,2017-05-04,40750808,7.2293197E8,17.13,17.05,18.49,18.13,17.13,17.05,18.49,18.13,17.13,17.05,18.49,18.13
601366,2017-05-04,2017-05-05,30737520,5.3972499E8,17.70,17.21,17.97,17.51,17.70,17.21,17.97,17.51,17.70,17.21,17.97,17.51
601366,2017-05-05,2017-05-06,24248857,4.11040992E8,17.32,16.40,17.40,16.48,17.32,16.40,17.40,16.48,17.32,16.40,17.40,16.48
601366,2017-05-08,2017-05-09,15095334,2.47091008E8,16.16,16.10,16.68,16.19,16.16,16.10,16.68,16.19,16.16,16.10,16.68,16.19
