股票代码,开始时间,结束时间,成交量,成交额,开盘价,最低价,最高价,收盘价,开盘价（前复权）,最低价（前复权）,最高价（前复权）,收盘价（前复权）,开盘价（后复权）,最低价（后复权）,最高价（后复权）,收盘价（后复权）
603322,2016-07-28,2016-07-29,5400,92970.0,14.39,14.39,17.27,17.27,14.39,14.39,17.27,17.27,14.39,14.39,17.27,17.27
603322,2016-07-29,2016-07-30,4725,89775.0,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00,19.00
603322,2016-08-01,2016-08-02,3200,66880.0,20.90,20.90,20.90,20.90,20.90,20.90,20.90,20.90,20.90,20.90,20.90,20.90
603322,2016-08-02,2016-08-03,5600,128744.0,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99,22.99
603322,2016-08-03,2016-08-04,4700,118863.0,25.29,25.29,25.29,25.29,25.29,25.29,25.29,25.29,25.29,25.29,25.29,25.29
603322,2016-08-04,2016-08-05,11200,311584.0,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.82,27.82
603322,2016-08-05,2016-08-06,20100,615060.0,30.60,30.60,30.60,30.60,30.60,30.60,30.60,30.60,30.60,30.60,30.60,30.60
603322,2016-08-08,2016-08-09,11435,384902.0,33.66,33.66,33.66,33.66,33.66,33.66,33.66,33.66,33.66,33.66,33.66,33.66
603322,2016-08-09,2016-08-10,7000,259210.0,37.03,37.03,37.03,37.03,37.03,37.03,37.03,37.03,37.03,37.03,37.03,37.03
603322,2016-08-10,2016-08-11,14528,591725.0,40.73,40.73,40.73,40.73,40.73,40.73,40.73,40.73,40.73,40.73,40.73,40.73
603322,2016-08-11,2016-08-12,27600,1236480.0,44.80,44.80,44.80,44.80,44.80,44.80,44.80,44.80,44.80,44.80,44.80,44.80
603322,2016-08-12,2016-08-13,62066,3058610.0,49.28,49.28,49.28,49.28,49.28,49.28,49.28,49.28,49.28,49.28,49.28,49.28
603322,2016-08-15,2016-08-16,42000,2276820.0,54.21,54.21,54.21,54.21,54.21,54.21,54.21,54.21,54.21,54.21,54.21,54.21
603322,2016-08-16,2016-08-17,35177,2097600.0,59.63,59.63,59.63,59.63,59.63,59.63,59.63,59.63,59.63,59.63,59.63,59.63
603322,2016-08-17,2016-08-18,202700,1.32951E7,65.59,65.59,65.59,65.59,65.59,65.59,65.59,65.59,65.59,65.59,65.59,65.59
603322,2016-08-18,2016-08-19,178568,1.28837E7,72.15,72.15,72.15,72.15,72.15,72.15,72.15,72.15,72.15,72.15,72.15,72.15
603322,2016-08-19,2016-08-20,51500,4087560.0,79.37,79.37,79.37,79.37,79.37,79.37,79.37,79.37,79.37,79.37,79.37,79.37
603322,2016-08-22,2016-08-23,9931490,8.5843398E8,87.31,83.58,87.31,87.31,87.31,83.58,87.31,87.31,87.31,83.58,87.31,87.31
603322,2016-08-23,2016-08-24,11749070,1.05812998E9,88.00,87.13,92.90,90.86,88.00,87.13,92.90,90.86,88.00,87.13,92.90,90.86
603322,2016-08-24,2016-08-25,7523666,6.7941299E8,89.00,87.91,92.70,89.21,89.00,87.91,92.70,89.21,89.00,87.91,92.70,89.21
603322,2016-08-25,2016-08-26,9404663,8.6286502E8,90.98,88.06,95.18,92.16,90.98,88.06,95.18,92.16,90.98,88.06,95.18,92.16
603322,2016-08-26,2016-08-27,8362603,7.2932E8,91.00,83.60,91.48,84.76,91.00,83.60,91.48,84.76,91.00,83.60,91.48,84.76
603322,2016-08-29,2016-08-30,5305970,4.27686016E8,82.05,78.30,82.77,79.69,82.05,78.30,82.77,79.69,82.05,78.30,82.77,79.69
603322,2016-08-30,2016-08-31,3297668,2.65018E8,79.69,79.36,81.48,80.38,79.69,79.36,81.48,80.38,79.69,79.36,81.48,80.38
603322,2016-08-31,2016-09-01,4562281,3.6404E8,80.39,76.20,82.30,80.82,80.39,76.20,82.30,80.82,80.39,76.20,82.30,80.82
603322,2016-09-01,2016-09-02,5828690,4.84657984E8,79.88,79.57,86.08,81.95,79.88,79.57,86.08,81.95,79.88,79.57,86.08,81.95
603322,2016-09-02,2016-09-03,3576700,2.91404E8,80.44,79.98,83.55,81.99,80.44,79.98,83.55,81.99,80.44,79.98,83.55,81.99
603322,2016-09-05,2016-09-06,3936491,3.13260992E8,82.73,76.81,82.96,77.69,82.73,76.81,82.96,77.69,82.73,76.81,82.96,77.69
603322,2016-09-06,2016-09-07,2642164,2.06879008E8,77.10,77.03,79.65,79.09,77.10,77.03,79.65,79.09,77.10,77.03,79.65,79.09
603322,2016-09-07,2016-09-08,2855417,2.20958E8,78.61,76.20,79.08,76.46,78.61,76.20,79.08,76.46,78.61,76.20,79.08,76.46
603322,2016-09-08,2016-09-09,2268488,1.72736E8,76.22,74.78,77.40,75.66,76.22,74.78,77.40,75.66,76.22,74.78,77.40,75.66
603322,2016-09-09,2016-09-10,2821070,2.07487008E8,75.00,72.52,75.75,72.58,75.00,72.52,75.75,72.58,75.00,72.52,75.75,72.58
603322,2016-09-12,2016-09-13,1743559,1.23447E8,70.00,69.71,71.70,70.80,70.00,69.71,71.70,70.80,70.00,69.71,71.70,70.80
603322,2016-09-13,2016-09-14,1612722,1.15076E8,71.48,70.37,72.50,71.59,71.48,70.37,72.50,71.59,71.48,70.37,72.50,71.59
603322,2016-09-14,2016-09-15,1618395,1.16069E8,70.95,70.33,72.24,72.12,70.95,70.33,72.24,72.12,70.95,70.33,72.24,72.12
603322,2016-09-19,2016-09-20,2030659,1.48608992E8,72.98,72.25,74.01,72.95,72.98,72.25,74.01,72.95,72.98,72.25,74.01,72.95
603322,2016-09-20,2016-09-21,1713691,1.22696E8,72.12,70.51,72.92,70.97,72.12,70.51,72.92,70.97,72.12,70.51,72.92,70.97
603322,2016-09-21,2016-09-22,1141000,8.08746E7,70.11,70.11,71.55,70.84,70.11,70.11,71.55,70.84,70.11,70.11,71.55,70.84
603322,2016-09-22,2016-09-23,1164560,8.2383504E7,70.68,70.08,71.58,70.32,70.68,70.08,71.58,70.32,70.68,70.08,71.58,70.32
603322,2016-09-23,2016-09-24,1980900,1.36675008E8,69.60,67.61,70.32,67.63,69.60,67.61,70.32,67.63,69.60,67.61,70.32,67.63
603322,2016-09-26,2016-09-27,2347101,1.54047008E8,67.00,63.81,67.30,64.06,67.00,63.81,67.30,64.06,67.00,63.81,67.30,64.06
603322,2016-09-27,2016-09-28,1409345,9.1291504E7,63.75,63.40,65.79,65.73,63.75,63.40,65.79,65.73,63.75,63.40,65.79,65.73
603322,2016-09-28,2016-09-29,930200,6.05345E7,65.31,64.55,65.70,64.63,65.31,64.55,65.70,64.63,65.31,64.55,65.70,64.63
603322,2016-09-29,2016-09-30,1980050,1.30852E8,64.70,64.51,66.79,66.02,64.70,64.51,66.79,66.02,64.70,64.51,66.79,66.02
603322,2016-09-30,2016-10-01,1307761,8.5995104E7,65.04,64.60,66.60,66.27,65.04,64.60,66.60,66.27,65.04,64.60,66.60,66.27
603322,2016-10-10,2016-10-11,2269051,1.55996992E8,67.00,66.00,70.25,69.34,67.00,66.00,70.25,69.34,67.00,66.00,70.25,69.34
603322,2016-10-11,2016-10-12,1652856,1.14133E8,69.78,68.23,69.92,69.02,69.78,68.23,69.92,69.02,69.78,68.23,69.92,69.02
603322,2016-10-12,2016-10-13,1525811,1.05702E8,68.35,68.01,69.97,69.46,68.35,68.01,69.97,69.46,68.35,68.01,69.97,69.46
603322,2016-10-13,2016-10-14,2165044,1.51818E8,69.10,69.00,71.20,70.34,69.10,69.00,71.20,70.34,69.10,69.00,71.20,70.34
603322,2016-10-14,2016-10-15,2490123,1.771E8,69.75,69.57,73.33,73.16,69.75,69.57,73.33,73.16,69.75,69.57,73.33,73.16
603322,2016-10-17,2016-10-18,4807015,3.65315008E8,74.18,73.82,77.77,74.08,74.18,73.82,77.77,74.08,74.18,73.82,77.77,74.08
603322,2016-10-18,2016-10-19,2594501,1.89816992E8,73.10,71.60,74.50,73.48,73.10,71.60,74.50,73.48,73.10,71.60,74.50,73.48
603322,2016-10-19,2016-10-20,1903450,1.38884E8,73.38,71.81,74.58,72.29,73.38,71.81,74.58,72.29,73.38,71.81,74.58,72.29
603322,2016-10-20,2016-10-21,2356100,1.6641E8,71.85,69.80,72.76,69.85,71.85,69.80,72.76,69.85,71.85,69.80,72.76,69.85
603322,2016-10-21,2016-10-22,1408800,9.8771904E7,70.20,69.02,70.86,70.71,70.20,69.02,70.86,70.71,70.20,69.02,70.86,70.71
603322,2016-10-24,2016-10-25,1263801,8.9403E7,70.21,69.68,71.58,71.22,70.21,69.68,71.58,71.22,70.21,69.68,71.58,71.22
603322,2016-10-25,2016-10-26,1915913,1.38334E8,70.88,70.63,73.32,71.52,70.88,70.63,73.32,71.52,70.88,70.63,73.32,71.52
603322,2016-10-26,2016-10-27,2356990,1.70112992E8,71.00,70.50,73.69,73.42,71.00,70.50,73.69,73.42,71.00,70.50,73.69,73.42
603322,2016-10-27,2016-10-28,2131472,1.55908992E8,73.02,72.05,73.96,73.58,73.02,72.05,73.96,73.58,73.02,72.05,73.96,73.58
603322,2016-10-28,2016-10-29,1956645,1.40931008E8,73.20,70.80,73.69,70.97,73.20,70.80,73.69,70.97,73.20,70.80,73.69,70.97
603322,2016-10-31,2016-11-01,2019068,1.35946E8,69.55,66.00,69.58,67.05,69.55,66.00,69.58,67.05,69.55,66.00,69.58,67.05
603322,2016-11-01,2016-11-02,1549105,1.05611E8,66.95,66.91,69.26,68.63,66.95,66.91,69.26,68.63,66.95,66.91,69.26,68.63
603322,2016-11-02,2016-11-03,1704805,1.18197E8,68.87,68.31,70.30,69.30,68.87,68.31,70.30,69.30,68.87,68.31,70.30,69.30
603322,2016-11-03,2016-11-04,1934268,1.36252E8,69.10,68.33,71.49,70.01,69.10,68.33,71.49,70.01,69.10,68.33,71.49,70.01
